gene,importance
GRAMD1C,0.064147
ZBTB20-AS5,0.031477626
AC068633.1,0.047286402
ARHGAP31,0.019755565
PLA1A,0.08875065
HCLS1,0.07122026
CD86,0.07223618
PARP14,0.06491091
HEG1,0.04639454
ALDH1L1,0.048161626
TF,0.031127715
PLSCR4,0.013651359
AC092957.1,0.04281603
ZIC1,0.07672687
AC092958.1,0.018105604
AGTR1,0.28708377
CPB1,0.084163584
CP,0.094899155
TM4SF18,0.2673945
TM4SF1,0.1570038
WWTR1,0.02146917
P2RY13,0.13447984
P2RY12,0.042237043
SUCNR1,0.0826131
AC073359.2,0.53783256
LINC02029,0.17769063
AC079594.2,0.07012203
SMC4,0.025317544
TRIM59,0.08237202
LINC01323,0.26200557
LINC01324,0.13447781
BCHE,0.044583425
SERPINI2,0.014514481
WDR49,0.02171985
MECOM,0.042684972
AC026316.5,0.025118262
AC026316.2,0.08857581
EIF5A2,0.03765607
PLD1,0.023033863
TNFSF10,0.10179758
KCNMB2-AS1,0.021785714
AC090425.2,0.1487815
AC125613.1,0.05299717
B3GNT5,0.08643637
KLHL6,0.06599281
AC107294.2,0.28048345
ST6GAL1,0.030766526
SST,0.3821403
BCL6,0.07909376
TPRG1-AS1,0.16218574
TPRG1,0.067238204
ATP13A4,0.07188357
AC080129.1,0.06835329
HES1,0.10896933
XXYLT1-AS2,0.2355115
APOD,0.04211076
AC128709.2,0.26605204
FGFR3,0.0816424
C4orf48,0.032335196
RGS12,0.06700771
CYTL1,0.16643526
STK32B,0.011788945
AC097381.3,0.257344
SH3TC1,0.08417972
AC098829.1,0.09337154
CD38,0.07958787
QDPR,0.0699508
LINC02473,0.11967812
CCKAR,0.20925075
LINC02506,0.20352161
AC016687.2,0.088724144
AC093689.1,0.2414223
AC104078.1,0.11353264
DTHD1,0.049407404
LINC02513,0.11605892
TLR10,0.041064683
TLR1,0.09252118
FAM114A1,0.052741278
TMEM156,0.011814985
RHOH,0.03711583
RBM47,0.030593827
LINC02475,0.485798
PDGFRA,0.047644764
KIT,0.029518863
KDR,0.15786481
IGFBP7,0.020319352
LINC02232,0.031176196
AC104137.1,0.18356295
UGT2B17,0.18854284
SLC4A4,0.03159353
CXCL8,0.35502747
CXCL1,0.18764007
CXCL2,0.029335178
AREG,0.32629266
AC110615.1,0.24239801
CXCL10,0.49822024
ANXA3,0.141252
LINC01094,0.036083035
BMP2K,0.025006564
LINC01088,0.07688354
PLAC8,0.02265951
HPSE,0.0026667558
ARHGAP24,0.040792383
MEPE,0.16551305
SPP1,0.07135305
ABCG2,0.09964827
MMRN1,0.046495706
GRID2,0.060419846
HPGDS,0.17819995
PDLIM5,0.01646878
BMPR1B,0.05956455
STPG2,0.04266597
ADH1B,0.20872872
EMCN,0.09982713
SLC39A8,0.046752054
TACR3,0.047053505
AC004052.1,0.10977477
AC096564.1,0.013814864
LEF1,0.04233982
ETNPPL,0.08653065
ALPK1,0.07206721
AC106864.1,0.22464235
UGT8,0.014556505
USP53,0.042677224
AC025741.1,0.1243724
LINC01091,0.08383895
FAT4,0.040177267
AC115622.1,0.0014796978
LINC02511,0.051889177
LINC02172,0.051548194
AC131956.2,0.08613094
SLC7A11,0.05688432
LINC00499,0.038026046
AC109927.1,0.07994404
MAML3,0.03505786
LINC02432,0.12323779
HHIP,0.024384491
EDNRA,0.04789966
MND1,0.042623494
TLR2,0.2159009
AC020703.1,0.03674825
AC098679.1,0.14162864
TMEM144,0.060042083
FSTL5,0.018854657
